title,make,model,year,condition,transmission,price
Toyota Land Cruiser Prado 2010 Black,Toyota,Land Cruiser,2010,local used,automatic,"₦ 11,000,000"
Toyota Corolla 2007 Black,Toyota,Corolla,2007,local used,automatic,"₦ 5,500,000"
Mercedes-Benz GLK-Class 2015 Silver,Mercedes-Benz,GLK-Class,2015,foreign used,,"₦ 20,000,000"
Toyota Corolla L 4-Speed Automatic 2013 Silver,Toyota,Corolla L,2013,foreign used,automatic,"₦ 13,000,000"
Toyota Corolla LE 2007 Blue,Toyota,Corolla LE,2007,local used,automatic,"₦ 6,480,000"
Toyota Highlander Limited AWD 2020 Black,Toyota,Highlander Limited,2020,foreign used,automatic,"₦ 64,500,000"
Lexus RX 2007 Gray,Lexus,RX,2007,foreign used,automatic,"₦ 12,980,000"
Toyota Sienna LE AWD 7-Passenger 2013 Black,Toyota,Sienna LE,2013,foreign used,automatic,"₦ 13,100,000"
Toyota Camry 2016 Gray,Toyota,Camry,2016,foreign used,automatic,"₦ 15,300,000"
Toyota Corolla Sedan Automatic 2004 Gold,Toyota,Corolla Sedan,2004,local used,automatic,"₦ 3,900,000"
Toyota RAV4 2013 Black,Toyota,RAV4,2013,local used,automatic,"₦ 9,800,000"
Toyota Sequoia 2005 Blue,Toyota,Sequoia,2005,local used,automatic,"₦ 5,500,000"
Opel Zafira 1.8 2005 Silver,Opel,Zafira 1,2005,foreign used,automatic,"₦ 6,000,000"
