title,make,model,year,condition,transmission,price
Mercedes-Benz GLK-Class 2015 White,Mercedes-Benz,GLK-Class,2015,foreign used,automatic,"₦ 28,500,000"
Toyota Corolla LE (1.8L 4cyl 2A) 2018,Toyota,Corolla LE,2018,foreign used,automatic,"₦ 16,500,000"
Toyota Camry 2007 Silver,Toyota,Camry,2007,local used,automatic,"₦ 6,800,000"
Ford Edge SE 4dr FWD (3.5L 6cyl 6A) 2012 Silver,Ford,Edge SE,2012,local used,automatic,"₦ 7,000,000"
Hyundai Sonata GLS 4dr Sedan (2.4L 4cyl 6A) 2014 Blue,Hyundai,Sonata GLS,2014,foreign used,automatic,"₦ 11,300,000"
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 White,Toyota,Camry SE,2018,local used,automatic,"₦ 18,500,000"
Honda Civic 1.8i VTEC Automatic 2008 Gold,Honda,Civic 1,2008,local used,automatic,"₦ 4,000,000"
Lexus RX 350 2019 Gray,Lexus,RX 350,2019,foreign used,automatic,"₦ 53,500,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2019 Black,Toyota,Land Cruiser,2019,local used,automatic,"₦ 70,000,000"
Ford Escape XLT 4WD 2.3 2008 Black,Ford,Escape XLT,2008,local used,automatic,"₦ 3,200,005"
Lexus ES 350 2011 Blue,Lexus,ES 350,2011,foreign used,automatic,"₦ 13,900,000"
Hyundai Sonata Limited 2.0T Sedan (2.0L 4cyl 6A) 2011 Silver,Hyundai,Sonata Limited,2011,foreign used,automatic,"₦ 13,000,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,local used,automatic,"₦ 12,500,000"
Toyota Camry 2002 Gray,Toyota,Camry,2002,local used,automatic,"₦ 2,700,000"
Opel Zafira 2004 Silver,Opel,Zafira,2004,local used,manual,"₦ 3,700,000"
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2013 White,Hyundai,Sonata Limited,2013,local used,automatic,"₦ 8,650,000"
Toyota Highlander 2015 Black,Toyota,Highlander,2015,foreign used,automatic,"₦ 29,000,000"
Honda Accord LX 4dr Sedan FWD (2.4L 4cyl 2A) 2016 Brown,Honda,Accord LX,2016,local used,automatic,"₦ 13,800,000"
Mercedes-Benz S-Class S 550 4MATIC 2015 Black,Mercedes-Benz,S-Class S,2015,local used,automatic,"₦ 36,800,000"
Peugeot 306 2007 Beige,Peugeot,306,2007,local used,automatic,"₦ 3,650,000"
Toyota Highlander Platinum 2021 Black,Toyota,Highlander Platinum,2021,foreign used,automatic,"₦ 47,000,000"
Toyota Avalon XL Sedan FWD ( 3.5L 6cyl 6A) 2008 Black,Toyota,Avalon XL,2008,foreign used,automatic,"₦ 8,000,000"
Ford Edge SEL 4dr AWD (3.5L 6cyl 6A) 2012 Burgundy,Ford,Edge SEL,2012,local used,automatic,"₦ 6,000,000"
Hyundai Sonata Sport Sedan FWD (2.4L 4cyl 6A) 2016 White,Hyundai,Sonata Sport,2016,foreign used,automatic,"₦ 10,800,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2009 Silver,Toyota,Camry SE,2009,foreign used,automatic,"₦ 9,100,000"
Lexus RX 350 2WD 2020 White,Lexus,RX 350,2020,foreign used,automatic,"₦ 64,000,000"
Lexus RX 350 AWD 2018 Gold,Lexus,RX 350,2018,foreign used,automatic,"₦ 54,500,000"
Mercedes-Benz GL-Class GL450 4MATIC 4dr SUV AWD (4.7L 8cyl Turbo 7A),,,,local used,automatic,"₦ 16,500,000"
Lexus ES 300 2002 Black,Lexus,ES 300,2002,local used,automatic,"₦ 4,429,687"
Porsche Panamera 2012 White,Porsche,Panamera,2012,local used,automatic,"₦ 19,250,000"
Honda Ridgeline 2006 Green,Honda,Ridgeline,2006,local used,automatic,"₦ 5,442,187"
Toyota RAV4 2004 Green,Toyota,RAV4,2004,local used,automatic,"₦ 5,400,000"
Ford Escape 2013 Gray,Ford,Escape,2013,local used,automatic,"₦ 5,500,000"
Toyota Corolla LE ECO w/Package 1 4dr Sedan (1.8L 4cyl CVT) 2017 Green,Toyota,Corolla LE,2017,foreign used,automatic,"₦ 18,718,593"
Mercedes-Benz C250 2014 Red,Mercedes-Benz,C250,2014,local used,automatic,"₦ 12,000,000"
Ford Explorer ST 4x4 2020 Gray,Ford,Explorer ST,2020,foreign used,automatic,"₦ 70,000,000"
Lexus RX 400h 2006 Gray,Lexus,RX 400h,2006,foreign used,automatic,"₦ 13,200,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 Black,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 135,000,000"
Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2013 White,Hyundai,Sonata Limited,2013,foreign used,automatic,"₦ 12,800,000"
Toyota Camry 2013 Gray,Toyota,Camry,2013,local used,automatic,"₦ 10,800,000"
