title,make,model,year,condition,transmission,price
Toyota Corolla 2009 Red,Toyota,Corolla,2009,local used,automatic,"₦ 6,800,000"
Mercedes-Benz C300 2010 White,,,,local used,automatic,"₦ 8,700,000"
Toyota Highlander 2021 Black,Toyota,Highlander,2021,foreign used,automatic,"₦ 73,500,000"
Hyundai Elantra 2014 Blue,Hyundai,Elantra,2014,local used,automatic,"₦ 7,700,000"
Lexus ES 350 2011 White,Lexus,ES,,foreign used,automatic,"₦ 14,100,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2015 Black,,,,foreign used,automatic,"₦ 21,500,000"
Toyota Corolla 2005 Red,Toyota,Corolla,2005,local used,automatic,"₦ 5,400,000"
Toyota Camry 2008 Gold,Toyota,Camry,2008,local used,automatic,"₦ 5,500,000"
Toyota Highlander Platinum 2021 Blue,Toyota,Highlander,,foreign used,automatic,"₦ 79,000,000"
Lexus RX 330 2006 Black,Lexus,RX,,local used,automatic,"₦ 8,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2019 Gray,,,,foreign used,automatic,"₦ 55,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Red,Toyota,Corolla,,foreign used,automatic,"₦ 11,500,000"
Toyota Venza AWD 2010 Gray,Toyota,Venza,,foreign used,automatic,"₦ 16,500,000"
Ford E-350 Super Duty Extended 2008 White,Ford,E-350,,foreign used,automatic,"₦ 13,499,999"
Mercedes-Benz GL-Class 2008 White,,,,foreign used,automatic,"₦ 11,000,000"
Toyota Sienna 2012 Black,Toyota,Sienna,2012,foreign used,automatic,"₦ 13,500,000"
Ford Edge SE 4dr SUV AWD (3.5L 6cyl 6A) 2014 Blue,Ford,Edge,,foreign used,automatic,"₦ 11,500,000"
Lexus RX 2005 Black,Lexus,RX,2005,local used,automatic,"₦ 8,000,000"
Honda Accord 2.4 EX Automatic 2008 Black,Honda,Accord,,local used,automatic,"₦ 4,650,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2008 Red,Toyota,Camry,,local used,automatic,"₦ 7,100,000"
Honda Accord EX-L Automatic 2009 Black,Honda,Accord,,local used,automatic,"₦ 4,600,000"
Honda Civic 1.8i-VTEC EXi 2006 Gray,Honda,Civic,,local used,automatic,"₦ 4,300,000"
Toyota Tundra 2005 Gray,Toyota,Tundra,2005,local used,automatic,"₦ 9,500,000"
Toyota Venza 2016 Black,Toyota,Venza,2016,foreign used,automatic,"₦ 24,000,000"
Toyota Avalon XLE Sedar FWD (3.5L 6cyl 6A) 2013 White,Toyota,Avalon,,foreign used,automatic,"₦ 18,700,000"
Toyota Avalon Limited Sedan FWD (3.5L 6cyl 6A) 2013 Gold,Toyota,Avalon,,foreign used,automatic,"₦ 16,500,000"
